	precision	recall	f1-score	support
angry	0.85	0.8947368421052632	0.8717948717948718	19.0
calm	0.782608695652174	0.9473684210526315	0.8571428571428571	19.0
disgust	0.9	0.9473684210526315	0.9230769230769231	19.0
fear	0.875	0.7	0.7777777777777777	20.0
happy	0.9375	0.7894736842105263	0.8571428571428572	19.0
neutral	0.6153846153846154	0.8	0.6956521739130435	10.0
sad	0.7692307692307693	0.5263157894736842	0.625	19.0
surprise	0.782608695652174	0.9473684210526315	0.8571428571428571	19.0
accuracy	0.8194444444444444	0.8194444444444444	0.8194444444444444	0.8194444444444444
macro avg	0.8140415969899666	0.819078947368421	0.8080912897488985	144.0
weighted avg	0.8268809805834263	0.8194444444444444	0.8149082239888399	144.0
