	precision	recall	f1-score	support
angry	0.8947368421052632	0.8947368421052632	0.8947368421052632	19.0
calm	0.8095238095238095	0.8947368421052632	0.8500000000000001	19.0
disgust	0.9473684210526315	0.9473684210526315	0.9473684210526315	19.0
fear	1.0	0.85	0.9189189189189189	20.0
happy	1.0	0.8421052631578947	0.9142857142857143	19.0
neutral	0.6153846153846154	0.8	0.6956521739130435	10.0
sad	0.8823529411764706	0.7894736842105263	0.8333333333333333	19.0
surprise	0.8636363636363636	1.0	0.9268292682926829	19.0
accuracy	0.8819444444444444	0.8819444444444444	0.8819444444444444	0.8819444444444444
macro avg	0.8766253741098942	0.8773026315789474	0.8726405839876984	144.0
weighted avg	0.8938096897655721	0.8819444444444444	0.8840237369432757	144.0
