	precision	recall	f1-score	support
angry	0.87	0.90625	0.8877551020408163	192.0
calm	0.5384615384615384	0.7368421052631579	0.6222222222222222	19.0
disgust	0.7722772277227723	0.8082901554404145	0.789873417721519	193.0
fear	0.7760416666666666	0.772020725388601	0.774025974025974	193.0
happy	0.8538011695906432	0.7564766839378239	0.8021978021978022	193.0
neutral	0.872093023255814	0.8823529411764706	0.8771929824561403	170.0
sad	0.7135135135135136	0.6875	0.7002652519893899	192.0
surprise	0.8695652173913043	0.9230769230769231	0.8955223880597014	65.0
accuracy	0.8060805258833197	0.8060805258833197	0.8060805258833197	0.8060805258833197
macro avg	0.7832191695752816	0.8091011917854238	0.7936318925891956	1217.0
weighted avg	0.8074380355443245	0.8060805258833197	0.805842769818314	1217.0
