	precision	recall	f1-score	support
angry	1.0	0.3333333333333333	0.5	33.0
calm	0.0	0.0	0.0	0.0
disgust	0.0	0.0	0.0	0.0
fear	0.0	0.0	0.0	0.0
happy	0.6785714285714286	0.2878787878787879	0.40425531914893625	66.0
neutral	0.65	0.19696969696969696	0.3023255813953488	66.0
sad	0.5420560747663551	0.8923076923076924	0.6744186046511628	65.0
surprise	0.6666666666666666	0.696969696969697	0.6814814814814815	66.0
micro avg	0.4966216216216216	0.4966216216216216	0.4966216216216216	296.0
macro avg	0.44216177125055633	0.300932400932401	0.32031012333461617	296.0
weighted avg	0.6754032403565114	0.4966216216216216	0.5133423193108992	296.0
